image1,image2,Similar,Elapsed
C:\Users\HarithaDesikan\Documents\GitHub\SREAssignment\Firstpic.JPG,C:\Users\HarithaDesikan\Documents\GitHub\SREAssignment\Secondpic.JPG,0.13,0.015922069549560547
C:\Users\HarithaDesikan\Documents\GitHub\SREAssignment\Sunset1.JPG,C:\Users\HarithaDesikan\Documents\GitHub\SREAssignment\Sunset2.JPG,0.46,0.23729634284973145
C:\Users\HarithaDesikan\Documents\GitHub\SREAssignment\Soccerball1.JPG,C:\Users\HarithaDesikan\Documents\GitHub\SREAssignment\Soccerball2.PNG,-0.0,0.7321927547454834
